;15-19;20-24;25-29;30-34;35-39;40-44;45-49
2015-2020;41.7;157.6;160.8;105.1;52.1;19.0;5.8
2020-2025;38.0;146.8;157.3;104.8;49.8;17.4;5.2
2025-2030;35.7;136.6;153.1;105.4;49.4;16.2;4.8
2030-2035;34.0;128.8;149.2;104.9;48.4;15.3;4.4
2035-2040;32.2;121.9;144.7;104.8;48.1;14.7;4.1
2040-2045;30.5;115.5;140.6;104.9;48.6;14.4;3.9
2045-2050;28.9;109.6;136.9;105.1;49.8;14.3;3.8
2050-2055;27.5;104.5;133.5;105.6;51.0;14.3;3.7
2055-2060;26.1;99.9;130.0;106.1;52.0;14.2;3.6
2060-2065;24.7;95.8;126.8;106.9;53.4;14.2;3.5
2065-2070;23.2;91.5;123.5;107.7;55.1;14.2;3.3
2070-2075;21.7;87.2;120.5;108.6;57.2;14.4;3.1
2075-2080;20.3;83.1;117.6;109.7;59.5;14.6;3.0
2080-2085;19.0;79.0;114.5;110.7;62.0;14.9;2.8
2085-2090;17.9;75.1;111.6;111.8;64.6;15.2;2.6
2090-2095;16.9;71.1;108.5;112.7;67.6;15.5;2.4
2095-2100;16.2;67.1;105.5;113.3;70.7;15.9;2.2
